
72,45,38,28.2,67.79,6.03,389.69,jowar
55,25,26,34.05,64.4,6.36,308.72,bajra
70,40,21,28.53,69.93,6.31,444.78,jowar
54,25,46,29.38,85.58,6.69,967.88,banana
74,23,29,24.88,72.88,6.54,437.77,wheat
57,28,24,26.23,73.05,6.24,711.11,soybean
64,33,31,28.33,70.69,6.23,664.49,soybean
42,39,41,27.93,79.5,6.13,719.91,cotton
77,28,25,28.11,69.01,7.22,608.83,pigeonpea
59,35,36,31.7,68.42,6.06,602.88,cotton
65,26,30,28.92,83.92,6.68,1134.86,banana
58,23,50,30.69,83.54,7.11,1268.73,sugarcane
54,44,32,25.65,84.61,6.41,1189.29,banana
75,36,33,30.75,78.0,6.63,686.56,maize
57,33,49,27.03,66.98,7.24,592.0,pigeonpea
61,29,30,27.57,79.77,6.65,820.13,soybean
64,26,30,26.28,75.25,6.46,668.73,soybean
72,22,40,26.13,65.14,6.42,551.25,maize
57,40,47,33.81,53.03,6.02,488.71,bajra
67,26,30,28.09,64.52,6.18,492.18,jowar
68,31,23,28.51,83.18,5.79,1267.82,rice
46,20,37,28.18,68.93,6.55,643.9,pigeonpea
76,34,24,24.04,85.83,6.94,977.77,banana
64,23,37,28.38,61.78,6.12,351.49,bajra
78,21,21,31.92,71.99,6.32,512.93,cotton
60,50,46,26.19,66.2,6.57,596.32,maize
42,24,26,30.16,86.16,6.96,1098.88,sugarcane
64,35,37,26.17,85.05,6.88,1163.13,sugarcane
77,36,27,27.22,83.27,6.42,1237.97,rice
40,39,20,27.71,91.96,5.64,1126.88,rice
54,31,49,31.6,69.77,6.94,743.62,pigeonpea
42,34,38,30.48,77.94,6.84,1144.68,sugarcane
63,31,40,22.23,69.94,6.32,505.46,wheat
54,22,29,27.92,70.66,7.2,522.69,pigeonpea
64,20,34,29.38,81.88,6.42,806.62,soybean
61,24,38,25.64,66.19,6.68,427.34,wheat
50,33,44,30.93,75.51,6.83,657.15,cotton
63,27,27,28.94,84.49,6.3,1361.79,rice
48,50,41,25.69,76.34,6.72,649.41,soybean
